scenario,slice,metric,agent_a,agent_b,p_raw,p_holm,p_bh,p_paired_t,p_paired_t_holm,p_paired_t_bh,correction_family,family_size
treatment_allocation_confounding,normal,fairness_gap_ses,causal_light,stability_filtered,0.00048828125,0.01953125,0.0008491847826086956,8.049829556433027e-06,0.00016099659112866056,1.5333008678920054e-05,treatment_allocation_confounding::normal,40
treatment_allocation_confounding,surface_shift,success_rate,causal_light,stability_filtered,0.04833984375,0.82177734375,0.08056640625,0.043671548852550354,0.742416330493356,0.0727859147542506,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,near_optimal_rate,causal_light,stability_filtered,0.37890625,1.0,0.4889112903225806,0.32847887852198354,1.0,0.4238437142219143,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,avg_cost,causal_light,stability_filtered,0.83984375,1.0,0.8648838141025641,0.8377954874100074,1.0,0.8650291239665827,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,surface_shift,fairness_gap_ses,causal_light,stability_filtered,0.8837890625,1.0,0.8837890625,0.8895277730661282,1.0,0.8895277730661281,treatment_allocation_confounding::surface_shift,40
treatment_allocation_confounding,adversarial,success_rate,causal_light,stability_filtered,0.31884765625,1.0,0.3542751736111111,0.303864801439677,1.0,0.32850248804289406,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,near_optimal_rate,causal_light,stability_filtered,0.4990234375,1.0,0.5118189102564102,0.47457246787823226,1.0,0.4867409926956229,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,avg_cost,causal_light,stability_filtered,0.45458984375,1.0,0.478515625,0.45228040786702495,1.0,0.4760846398600263,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,adversarial,fairness_gap_ses,causal_light,stability_filtered,0.00048828125,0.01953125,0.0006734913793103449,6.20574671255183e-06,8.688045397572562e-05,9.193698833410119e-06,treatment_allocation_confounding::adversarial,40
treatment_allocation_confounding,degradation,success_rate_drop,causal_light,stability_filtered,0.013671875,0.123046875,0.018643465909090908,0.015058751022764936,0.1355287592048844,0.020534660485588548,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,degradation,fairness_gap_increase,causal_light,stability_filtered,0.037109375,0.2392578125,0.04453125,0.032155808318434086,0.20821266129709654,0.038586969982120904,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,degradation,near_optimal_rate_drop,causal_light,stability_filtered,0.30078125,0.90234375,0.322265625,0.2671585497198021,0.8014756491594062,0.2862413032712165,treatment_allocation_confounding::degradation,30
treatment_allocation_confounding,overall,success_rate,causal_light,structural_causal,0.96484375,1.0,0.9658203125,0.9638659299552121,1.0,0.963865929955212,treatment_allocation_confounding::overall,40
